Method,Stage,AvgDelay_s,TimelyRate,LossRate,AvgTxCost,EmergencyTimelyRate
Link-aware,Normal,0.0333038577201382,1,0,2.52704,NaN
Link-aware,Coop_1,0.0119173255147018,1,0,2,NaN
Link-aware,LinkDeg_Emerg,0.0121029820515743,1,0,2,NaN
Link-aware,PosDeg_Emerg,0.0119568993696296,1,0,2.13181818181818,1
Link-aware,Recovery,0.0119744362424736,1,0,1.13774834437086,NaN
Link-aware,Full,0.0164071109465019,1,0,1.91710482529118,1
No-Regime-Gate,Normal,0.0128856938165028,0.872,0.128,1.3456,NaN
No-Regime-Gate,Coop_1,0.0119091137543951,1,0,2,NaN
No-Regime-Gate,LinkDeg_Emerg,0.0120897454597558,1,0,2,NaN
No-Regime-Gate,PosDeg_Emerg,0.0133726926482524,1,0,2.23727272727273,1
No-Regime-Gate,Recovery,0.0123683684772796,1,0,1.0887417218543,NaN
No-Regime-Gate,Full,0.0125048905562721,0.973377703826955,0.0266222961730449,1.6783693843594,1
Full,Normal,0.0131310953469866,0.872,0.128,1.3456,NaN
Full,Coop_1,0.0120367468552446,1,0,2,NaN
Full,LinkDeg_Emerg,0.0119950811830952,1,0,2,NaN
Full,PosDeg_Emerg,0.0134497455450191,1,0,2.23727272727273,1
Full,Recovery,0.0123151187071043,0.993377483443709,0.00662251655629142,1.0887417218543,NaN
Full,Full,0.0125740094418273,0.97171381031614,0.0282861896838602,1.6783693843594,1
No-GNSS,Normal,0.0127321791151848,0.872,0.128,1.3456,NaN
No-GNSS,Coop_1,0.0119892964162644,0.98,0.02,2,NaN
No-GNSS,LinkDeg_Emerg,0.0124703226075161,1,0,2,NaN
No-GNSS,PosDeg_Emerg,0.011967978904825,0.990909090909091,0.00909090909090904,2.06272727272727,1
No-GNSS,Recovery,0.0121059104523412,0.993377483443709,0.00662251655629142,1.07284768211921,NaN
No-GNSS,Full,0.0122089678184684,0.965058236272879,0.0349417637271214,1.64242928452579,1
No-RSU,Normal,0.0129340496756968,0.864,0.136,1.3456,NaN
No-RSU,Coop_1,0.0121657755380628,1,0,2,NaN
No-RSU,LinkDeg_Emerg,0.0121135177083893,1,0,2,NaN
No-RSU,PosDeg_Emerg,0.0135183757603849,1,0,2.23727272727273,1
No-RSU,Recovery,0.0126246414700746,0.993377483443709,0.00662251655629142,1.11258278145695,NaN
No-RSU,Full,0.0126755401387367,0.970049916805324,0.0299500831946755,1.68435940099834,1
No-Env,Normal,0.0129623291345914,0.92,0.08,1.3456,NaN
No-Env,Coop_1,0.0119359427373771,1,0,2,NaN
No-Env,LinkDeg_Emerg,0.0121566945963301,1,0,2,NaN
No-Env,PosDeg_Emerg,0.0133438864820196,1,0,2.20454545454545,1
No-Env,Recovery,0.0117769639601327,0.993377483443709,0.00662251655629142,1.07284768211921,NaN
No-Env,Full,0.0123824008760815,0.981697171381032,0.0183028286189684,1.66838602329451,1
No-Traj,Normal,0.0126723568946521,0.896,0.104,1.3456,NaN
No-Traj,Coop_1,0.0119137949389546,1,0,2,NaN
No-Traj,LinkDeg_Emerg,0.0117624273680118,1,0,2,NaN
No-Traj,PosDeg_Emerg,0.013407342532004,1,0,2.23727272727273,1
No-Traj,Recovery,0.0125130310953942,0.993377483443709,0.00662251655629142,1.13907284768212,NaN
No-Traj,Full,0.0124747756981168,0.976705490848586,0.0232945091514143,1.6910149750416,1
