Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
Generic,TimelyRate,0.968552412645591,0.00624674839452812,0.971131447587354,0.00620872766157456,0.00257903494176372,0.00214183274774198,0.00301623713578547,3.91930932153173e-12,***
Generic,LossRate,0.0314475873544093,0.00624674839452812,0.0288685524126456,0.00620872766157456,-0.00257903494176372,-0.00301623713578547,-0.00214183274774198,3.91930932153173e-12,***
Generic,AvgDelay,0.0238820861282624,0.00274235988531636,0.0238589104157184,0.00278955020062971,-2.3175712543981e-05,-9.86899391625581e-05,5.2338514074596e-05,0.718011875159797,n.s.
Generic,AvgTxCost,1.62945091514143,9.11251831401531e-16,1.91855324459234,0.0413702576603122,0.289102329450914,0.278217610400161,0.299987048501667,0,***
Generic,EmgTimely,1,0,1,0,0,0,0,1,n.s.
ForestParam,TimelyRate,0.959983361064892,0.008283924425121,0.971963394342762,0.00698199035643528,0.0119800332778702,0.00945278343242962,0.0145072831233108,2.44382798442189e-08,***
ForestParam,LossRate,0.0398502495840266,0.00835398740805182,0.0273710482529118,0.00694432311731013,-0.0124792013311148,-0.0149779527289191,-0.00998044993331048,4.20785939425627e-09,***
ForestParam,AvgDelay,0.0364402474348964,0.00233101747919383,0.035194601348949,0.00222465254360454,-0.00124564608594736,-0.00183599050491761,-0.000655301666977122,0.0130372331384101,*
ForestParam,AvgTxCost,2.2112146422629,0,2.57372961730449,0.0425326874826139,0.362514975041597,0.351324414965248,0.373705535117945,0,***
ForestParam,EmgTimely,0.825,0.157418873564722,0.916666666666667,0.0854981960070962,0.0916666666666667,0.058377110361388,0.124956222971945,0.00119534547259437,**
ForestGeometryDemo,TimelyRate,0.791014975041597,0.007088141130259,0.797670549084858,0.00784903411745646,0.00665557404326123,0.00558323985795881,0.00772790822856364,2.8377300509419e-13,***
ForestGeometryDemo,LossRate,0.203494176372712,0.00748216718046122,0.196838602329451,0.00763637539556004,-0.00665557404326123,-0.00772790822856364,-0.00558323985795881,2.8377300509419e-13,***
ForestGeometryDemo,AvgDelay,0.0980582121172178,0.00130683303786184,0.0963974303096858,0.00171356090892447,-0.00166078180753201,-0.00195638454661626,-0.00136517906844777,3.84492437888184e-11,***
ForestGeometryDemo,AvgTxCost,1.86504159733777,2.27812957850383e-16,2.14918386023295,0.0326776354015055,0.284142262895173,0.275544615679416,0.292739910110931,0,***
ForestGeometryDemo,EmgTimely,0.953271028037383,0.0109326663900112,0.952803738317757,0.0107096356688772,-0.000467289719626168,-0.00101712198614783,8.25425468954948e-05,0.317310527664727,n.s.
