Config,Stage,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
Generic,PosDeg_Emerg,TimelyRate,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
Generic,PosDeg_Emerg,LossRate,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
Generic,PosDeg_Emerg,AvgDelay,0.0318155094596432,0.000500534763294623,0.0135955304072963,0.000594597451377599,-0.0182199790523469,-57.2676011222083,-0.018431099689924,-0.0180088584147698,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-33.2598440129166,Meaningful,3.3376107877608e-307,p < 1e-15,***
Generic,PosDeg_Emerg,AvgTxCost,5.09690909090909,9.3622225828712e-16,3.2962,0.127319917658264,-1.80070909090909,-35.3294331680519,-1.84977720569864,-1.75164097611954,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-14.1431845388271,SeeDelta,3.3376107877608e-307,p < 1e-15,***
Generic,PosDeg_Emerg,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
ForestParam,PosDeg_Emerg,TimelyRate,0.927272727272727,0.0113383557174967,0.989090909090909,0.00717100579769641,0.0618181818181822,6.18181818181822,0.0572055224666324,0.0664308411697321,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,5.16497077212679,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestParam,PosDeg_Emerg,LossRate,0.0718181818181818,0.0116971267064356,0.00545454545454545,0.00766612766101425,-0.0663636363636364,-6.63636363636364,-0.0715994853537542,-0.0611277873735185,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.8847921173629,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestParam,PosDeg_Emerg,AvgDelay,0.031497285467867,0.000464308207561673,0.0197590440591667,0.000593001463745799,-0.0117382414087003,-37.2674699877724,-0.012079363634547,-0.0113971191828536,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-13.261603639727,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestParam,PosDeg_Emerg,AvgTxCost,4.54327272727273,0,3.54067272727273,0.130320521729458,-1.0026,-22.0677925404194,-1.05282452446772,-0.952375475532284,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-7.69333936585497,SeeDelta,3.3376107877608e-307,p < 1e-15,***
ForestParam,PosDeg_Emerg,EmgTimely,0.8,0.0702728368926304,0.883333333333333,0.0805076485899415,0.0833333333333333,8.33333333333334,0.0494800713039583,0.117186595362708,0.00269993456262951,p = 0.0027,0.00269993456262951,p = 0.0027,**,**,1,0.948683298050514,Meaningful,0.0134996728131476,p = 0.0135,*
ForestGeometryDemo,PosDeg_Emerg,TimelyRate,0.824545454545454,0.0226969494679683,0.975454545454546,0.0171687460293519,0.150909090909091,15.0909090909092,0.139091224891564,0.162726956926618,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.92129460863708,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestGeometryDemo,PosDeg_Emerg,LossRate,0.175454545454546,0.0226969494679683,0.0236363636363636,0.0161489849629991,-0.151818181818182,-15.1818181818182,-0.163025943785201,-0.140610419851163,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.22044964179725,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestGeometryDemo,PosDeg_Emerg,AvgDelay,0.0259545445389429,0.000592969909138831,0.0280135331599538,0.00101444951750195,0.00205898862101082,7.93305626273447,0.00168596497315852,0.00243201226886313,1.7418511077949e-11,p = 1.742e-11,3.4837022155898e-11,p = 3.484e-11,***,***,1,2.12726015334825,Meaningful,1.04511066467694e-10,p = 1.045e-10,***
ForestGeometryDemo,PosDeg_Emerg,AvgTxCost,3.29127272727273,4.6811112914356e-16,3.94103636363637,0.0474918039422565,0.649763636363635,19.7420174566346,0.631460661226185,0.668066611501086,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,13.6815951896386,SeeDelta,3.3376107877608e-307,p < 1e-15,***
ForestGeometryDemo,PosDeg_Emerg,EmgTimely,0.984745762711864,0.0168547275595213,0.989830508474576,0.00875250473719194,0.00508474576271191,0.508474576271201,-0.00248920438623306,0.0126586959116569,0.413253264174201,p = 0.4133,0.413253264174201,p = 0.4133,n.s.,n.s.,0.357142857142857,0.258731808559232,Below1pp,1,p = 1,n.s.
