Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
Generic,TimelyRate,0.999667221297837,0.000701559103753243,0.970881863560732,0.00643228702426137,-0.028785357737105,-2.87853577371052,-0.0312972680911081,-0.0262734473831019,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.41642153168683,Meaningful,3.3376107877608e-307,p < 1e-15,***
Generic,LossRate,0.000332778702163062,0.000701559103753385,0.0291181364392679,0.00643228702426133,0.0287853577371048,2.87853577371048,0.0262734473831017,0.0312972680911079,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.41642153168679,Meaningful,3.3376107877608e-307,p < 1e-15,***
Generic,AvgDelay,0.0330375130079623,0.000436727998644563,0.0242379415860797,0.00290758429413841,-0.00879957142188261,-26.635090297995,-0.00992692726817141,-0.0076722155755938,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-3.00817794449101,Meaningful,3.3376107877608e-307,p < 1e-15,***
Generic,AvgTxCost,4.41547420965059,0,1.90477371048253,0.0320692955585412,-2.51070049916806,-56.8614010626673,-2.52305975846251,-2.49834123987361,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-78.2898549980581,SeeDelta,3.3376107877608e-307,p < 1e-15,***
Generic,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
ForestParam,TimelyRate,0.865058236272878,0.00545966708921778,0.973544093178037,0.00528793630018986,0.108485856905158,10.8485856905158,0.105924414961997,0.111047298848319,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,16.3226861626843,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestParam,LossRate,0.13477537437604,0.00554631170271767,0.0254575707154742,0.00560424540391306,-0.109317803660566,-10.9317803660566,-0.111936575383952,-0.106699031937179,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-16.0877859082513,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestParam,AvgDelay,0.0781600245593451,0.00179475683140727,0.034473412946453,0.00209647572600984,-0.0436866116128921,-55.8938048691654,-0.0444476093149602,-0.042925613910824,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-22.1242236358809,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestParam,AvgTxCost,3.87622296173046,0.000859409902097355,2.5621996672213,0.0283543292035768,-1.31402329450916,-33.8995797579854,-1.32496045050636,-1.30308613851196,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-46.3022058359181,SeeDelta,3.3376107877608e-307,p < 1e-15,***
ForestParam,EmgTimely,0.8,0.0702728368926304,0.883333333333333,0.0805076485899415,0.0833333333333333,8.33333333333334,0.0494800713039583,0.117186595362708,0.00269993456262951,p = 0.0027,0.00269993456262951,p = 0.0027,**,**,1,0.948683298050514,Meaningful,0.00809980368788854,p = 0.0081,**
ForestGeometryDemo,TimelyRate,0.787853577371048,0.00431401807712258,0.844425956738769,0.00838392482408809,0.0565723793677207,5.65723793677209,0.0538018552336871,0.0593429035017543,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,7.86947084806696,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestGeometryDemo,LossRate,0.21198003327787,0.00423848545192296,0.155241264559068,0.0081532668508704,-0.0567387687188021,-5.67387687188021,-0.0594332132370336,-0.0540443242005705,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-8.11547015792705,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestGeometryDemo,AvgDelay,0.0985797552596872,0.00140206485871566,0.0870958458604581,0.00267589621189545,-0.011483909399229,-11.6493588049363,-0.0123491544388589,-0.0106186643595992,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.11509451461524,Meaningful,3.3376107877608e-307,p < 1e-15,***
ForestGeometryDemo,AvgTxCost,2.3673544093178,4.6811112914356e-16,2.19753577371048,0.0281762902084282,-0.169818635607318,-7.17335076399711,-0.180677560649994,-0.158959710564641,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-6.0270047742666,SeeDelta,3.3376107877608e-307,p < 1e-15,***
ForestGeometryDemo,EmgTimely,0.979439252336449,0.00858819236890352,0.986915887850467,0.00482614747190984,0.00747663551401878,0.747663551401878,0.00416681237917205,0.0107864586488655,0.00590550314412841,p = 0.005906,0.00590550314412841,p = 0.005906,**,**,0.805555555555556,0.870571500132014,Below1pp,0.0118110062882568,p = 0.01181,*
