Config,Method,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
Generic,Link-delay-aware,0.968718801996672,0.00691845418946763,0.00428810233274535,0.0312811980033278,0.00691845418946763,0.00428810233274535,0.0242200511076674,0.00290337977505987,0.00179953342832468,1.62945091514143,2.3405556457178e-16,1.45069141884354e-16,1,0,0
Generic,DCC-like,0.999667221297837,0.000701559103753384,0.000434830837493067,0.000332778702163061,0.000701559103753384,0.000434830837493067,0.0330375130079623,0.000436727998644555,0.000270686817962009,4.41547420965059,9.3622225828712e-16,5.80276567537415e-16,1,0,0
Generic,AoI-aware,0.968718801996672,0.00734964781962393,0.00455535891357999,0.0312811980033278,0.00734964781962393,0.00455535891357999,0.0246704048065502,0.00303953347657868,0.00188392236682246,1.77064891846922,2.3405556457178e-16,1.45069141884354e-16,0.933333333333333,0.086066296582387,0.0533444432872781
Generic,Confidence-driven,0.970881863560732,0.00643228702426134,0.00398677280188006,0.0291181364392679,0.00643228702426134,0.00398677280188006,0.0242379415860797,0.0029075842941384,0.00180213941624842,1.90477371048253,0.032069295558541,0.0198767553167338,1,0,0
Generic,Oracle,0.993011647254576,0.00291379379624264,0.00180598810552628,0.00698835274542429,0.00291379379624264,0.00180598810552628,0.0157020354882495,0.00110801895149803,0.00068675726116362,1.89032445923461,0.0202842294707992,0.0125722956790105,1,0,0
ForestParam,Link-delay-aware,0.962063227953411,0.00559050612017932,0.00346503159212402,0.0376039933444259,0.00566701709348632,0.00351245358468673,0.0359853659934911,0.00219279884478041,0.00135911080481806,2.2112146422629,0,0,0.783333333333333,0.176558317578563,0.109431978985539
ForestParam,DCC-like,0.865058236272879,0.00545966708921784,0.00338393672056526,0.13477537437604,0.00554631170271769,0.00343763960839158,0.0781600245593451,0.00179475683140728,0.00111240180894519,3.87622296173046,0.000859409902098157,0.000532667775929169,0.8,0.0702728368926307,0.0435555555555556
ForestParam,AoI-aware,0.946422628951747,0.00682894907226686,0.00423262648635678,0.0530782029950083,0.00658354441518534,0.00408052310405791,0.0391728801497189,0.00258223291735318,0.00160048454370789,2.36911813643927,4.6811112914356e-16,2.90138283768708e-16,0.866666666666667,0.105409255338946,0.0653333333333333
ForestParam,Confidence-driven,0.973544093178037,0.00528793630018991,0.00327749687477486,0.0254575707154742,0.00560424540391309,0.00347354728840755,0.034473412946453,0.00209647572600984,0.00129940911727546,2.5621996672213,0.0283543292035762,0.0175741953146677,0.883333333333333,0.0805076485899413,0.0498991575672969
ForestParam,Oracle,0.971381031613977,0.00536589533996575,0.00332581638823356,0.0274542429284526,0.00556016019294604,0.00344622299156171,0.0360303729327272,0.00231055499904218,0.00143209682538805,2.55065890183028,0.0197862385771466,0.0122636377253294,0.866666666666667,0.105409255338946,0.0653333333333333
ForestGeometryDemo,Link-delay-aware,0.822628951747088,0.00538877772667384,0.00333999903845203,0.17720465890183,0.0057237291848448,0.00354760410308134,0.0918905870145066,0.00171261012179189,0.00106148675082927,1.82655574043261,0,0,0.971028037383178,0.0102850928468655,0.00637476659111049
ForestGeometryDemo,DCC-like,0.787853577371048,0.00431401807712258,0.00267385610620607,0.21198003327787,0.00423848545192297,0.00262704050008268,0.0985797552596871,0.00140206485871563,0.000869008802641423,2.3673544093178,4.6811112914356e-16,2.90138283768708e-16,0.979439252336449,0.00858819236890357,0.00532301677840481
ForestGeometryDemo,AoI-aware,0.810482529118137,0.00942709848533468,0.00584297617631468,0.189184692179701,0.00967191527179401,0.00599471519262698,0.0888933750729756,0.00341264492210138,0.00211517923665266,1.89547420965058,2.3405556457178e-16,1.45069141884354e-16,0.966355140186916,0.00653463456803833,0.00405020846672684
ForestGeometryDemo,Confidence-driven,0.844425956738769,0.00838392482408816,0.00519641044244604,0.155241264559068,0.00815326685087043,0.00505344714950019,0.0870958458604581,0.00267589621189547,0.00165853765511402,2.19753577371048,0.028176290208428,0.0174638456022165,0.986915887850467,0.00482614747190955,0.00299127719367915
ForestGeometryDemo,Oracle,0.857071547420965,0.00878525969569433,0.00544516037299648,0.142595673876872,0.00904746080916376,0.00560767430682123,0.0829489673537248,0.00330646991382795,0.00204937128473333,2.25747254575707,0.0197510762709182,0.012241843902138,0.98785046728972,0.00451444758448269,0.0027980836019045
