Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,BaselineMethod,TimelyRateMean,EmergencyTimelyRateMean,LossRateMean,AvgTxCostMean,TimelyPerCost,EmergencyTimelyPerCost,ReliabilityPerCost,DeltaTimely_pp,DeltaEmergencyTimely_pp,DeltaAvgTxCost,TimelyGainPerCost_pp,EmergencyGainPerCost_pp,CostEfficiencyClass
10014,Primary,CurvedBlind,Medium,Dense,Default,Link-delay-aware,Link-delay-aware,0.968718801996672,1,0.0312811980033278,1.62945091514143,0.594506279995916,0.613703665883795,0.594506279995916,0,0,0,0,0,Baseline
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-heuristic,Link-delay-aware,0.97071547420965,1,0.0292845257903494,1.85548252911814,0.523160665204973,0.53894336610934,0.523160665204974,0.199667221297817,0,0.226031613976706,0.883359711435737,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,Default,Confidence-lyapunov,Link-delay-aware,0.97071547420965,1,0.0292845257903494,1.81968386023294,0.533452813108638,0.549546007333376,0.533452813108639,0.199667221297817,0,0.190232945091514,1.04959328260289,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,Default,Constrained Oracle,Link-delay-aware,0.993011647254576,1,0.00698835274542428,1.89032445923461,0.525312806700203,0.529009713181673,0.525312806700203,2.42928452579033,0,0.260873544093177,9.31211531715404,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Link-delay-aware,Link-delay-aware,0.73910149750416,0.0166666666666667,0.26089850249584,1.69833610648918,0.435191535220928,0.00981352666470727,0.435191535220928,0,0,0,0,0,Baseline
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-heuristic,Link-delay-aware,0.770382695507488,0.0166666666666667,0.229450915141431,2.17201331114809,0.354685991818474,0.00767337224920458,0.354762597864223,3.12811980033278,0,0.473677204658908,6.60390614022756,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Confidence-lyapunov,Link-delay-aware,0.743760399334442,0.0166666666666667,0.256073211314476,1.88355906821963,0.39486969741674,0.00884849694807834,0.394958035156654,0.465890183028272,0,0.185222961730452,2.51529388514079,0,CostlyGain
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Constrained Oracle,Link-delay-aware,0.800831946755407,0.0166666666666667,0.199001663893511,2.61058069883528,0.306763911612731,0.00638427560354775,0.306827648141219,6.17304492512477,0,0.912244592346097,6.76687477998529,0,CostlyGain
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,Link-delay-aware,0.94559068219634,0.997368421052631,0.0544093178036605,2.14675540765392,0.440474345062779,0.464593412689993,0.440474345062779,0,0,0,0,0,Baseline
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-heuristic,Link-delay-aware,0.980865224625624,0.999671052631579,0.019134775374376,2.4728618968386,0.396651841285435,0.404256725339008,0.396651841285435,3.52745424292845,0.230263157894761,0.326106489184679,10.8168784121643,0.706098055486286,CostlyGain
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-lyapunov,Link-delay-aware,0.945757071547421,0.997368421052631,0.054242928452579,2.16133111480866,0.437580833897887,0.461460261326469,0.437580833897887,0.0166389351081597,0,0.0145757071547363,1.14155251141643,0,CostlyGain
10006,Reference,Mixed,Medium,Mixed,Default,Constrained Oracle,Link-delay-aware,0.988851913477538,0.997368421052631,0.0111480865224626,2.32645590682197,0.425046488342153,0.428707210021907,0.425046488342153,4.3261231281198,0,0.179700499168049,24.0740740740747,0,CostlyGain
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Link-delay-aware,0.690515806988353,0.801644736842105,0.308319467554077,2.26455906821964,0.304922850844966,0.353995949185969,0.305437178545187,0,0,0,0,0,Baseline
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-heuristic,Link-delay-aware,0.706821963394343,0.802631578947368,0.291181364392679,2.68690682196339,0.263061583534129,0.298719543374736,0.263804695352022,1.63061564059901,0.098684210526323,0.422347753743751,3.86083654084815,0.233656293070277,CostlyGain
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-lyapunov,Link-delay-aware,0.693677204658902,0.801973684210526,0.305823627287854,2.26949750415974,0.305652332019519,0.353370595358927,0.305872278528528,0.316139767054902,0.032894736842104,0.00493843594010013,64.0161725067333,6.66096254787847,CostlyGain
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Constrained Oracle,Link-delay-aware,0.715806988352745,0.801973684210526,0.28369384359401,2.8526921797005,0.250923318487134,0.281128714102874,0.251098299880779,2.52911813643927,0.032894736842104,0.588133111480861,4.30024783007234,0.0559307683923428,CostlyGain
10011,Boundary,Open,Low,Sparse,Default,Link-delay-aware,Link-delay-aware,0.997171381031614,1,0.00282861896838602,1.71880199667221,0.580154888673767,0.581800580832528,0.580154888673767,0,0,0,0,0,Baseline
10011,Boundary,Open,Low,Sparse,Default,Confidence-heuristic,Link-delay-aware,0.997171381031614,1,0.00282861896838602,1.94242928452579,0.51336302895323,0.514819256467364,0.51336302895323,0,0,0.223627287853579,0,0,NoGainExtraCost
10011,Boundary,Open,Low,Sparse,Default,Confidence-lyapunov,Link-delay-aware,0.997171381031614,1,0.00282861896838602,1.90070715474209,0.524631781673342,0.52611997461318,0.524631781673342,0,0,0.181905158069884,0,0,NoGainExtraCost
10011,Boundary,Open,Low,Sparse,Default,Constrained Oracle,Link-delay-aware,0.997171381031614,1,0.00282861896838602,1.90070715474209,0.524631781673342,0.52611997461318,0.524631781673342,0,0,0.181905158069884,0,0,NoGainExtraCost
10011,Boundary,Open,Low,Sparse,ForestGeometry,Link-delay-aware,Link-delay-aware,0.590515806988353,0.295,0.404159733777038,2.72888519134775,0.216394522151629,0.108102752338329,0.218345670280356,0,0,0,0,0,Baseline
10011,Boundary,Open,Low,Sparse,ForestGeometry,Confidence-heuristic,Link-delay-aware,0.67936772046589,0.275,0.316971713810316,3.39813477537437,0.199923712675888,0.0809267489897316,0.201000940615851,8.88519134775374,-2,0.669249584026623,13.2763494514182,-2.98842173045032,CostlyGain
10011,Boundary,Open,Low,Sparse,ForestGeometry,Confidence-lyapunov,Link-delay-aware,0.602662229617305,0.245,0.395174708818636,2.63554575707155,0.228666957498376,0.092959873431387,0.229487683740087,1.21464226289518,-5,-0.0933394342762042,-13.0131736099974,53.5679269836189,Dominates
10011,Boundary,Open,Low,Sparse,ForestGeometry,Constrained Oracle,Link-delay-aware,0.701663893510815,0.29,0.289850249584027,4.00913477537438,0.175016289754263,0.072334809441002,0.177132920244533,11.1148086522463,-0.499999999999995,1.28024958402663,8.68175142638053,-0.390548847848401,CostlyGain
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Link-delay-aware,Link-delay-aware,1,1,0,2.49966722129784,0.400053251680756,0.400053251680756,0.400053251680756,0,0,0,0,0,Baseline
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Confidence-heuristic,Link-delay-aware,1,1,0,2.98415973377703,0.335102705354953,0.335102705354953,0.335102705354953,0,0,0.484492512479192,0,0,NoGainExtraCost
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Confidence-lyapunov,Link-delay-aware,1,1,0,2.50505823627288,0.399192316378176,0.399192316378176,0.399192316378176,0,0,0.00539101497504246,0,0,NoGainExtraCost
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Constrained Oracle,Link-delay-aware,1,1,0,2.50505823627288,0.399192316378176,0.399192316378176,0.399192316378176,0,0,0.00539101497504246,0,0,NoGainExtraCost
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Link-delay-aware,Link-delay-aware,0.6630615640599,0.629120879120879,0.278369384359401,2.95835274542429,0.2241320157258,0.212659183423595,0.243929875082257,0,0,0,0,0,Baseline
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Confidence-heuristic,Link-delay-aware,0.664725457570716,0.630952380952381,0.269384359400998,3.33284359400999,0.199446940374101,0.189313528569529,0.219216899920571,0.166389351081531,0.183150183150194,0.374490848585696,0.444308189932858,0.489064509431618,CostlyGain
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Confidence-lyapunov,Link-delay-aware,0.659068219633943,0.624725274725275,0.287188019966722,2.85433111480866,0.230901108919917,0.218869237519121,0.24972995471167,-0.3993344425957,-0.439560439560449,-0.104021630615632,3.83895580402187,4.22566380625832,LowerCostLowerBenefit
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Constrained Oracle,Link-delay-aware,0.662562396006656,0.628571428571429,0.261730449251248,3.01118469217971,0.220033795245899,0.208745557920735,0.24517577837922,-0.0499168053244681,-0.0549450549450436,0.0528319467554184,-0.944822373393778,-1.03999678829568,NoGainExtraCost
10017,LongRange,LongMixed,Medium,Mixed,Default,Link-delay-aware,Link-delay-aware,0.904492512479201,0.991666666666666,0.0955074875207988,1.92312811980033,0.470323585395398,0.515652938801408,0.470323585395398,0,0,0,0,0,Baseline
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-heuristic,Link-delay-aware,0.951414309484193,1,0.048585690515807,2.35926788685524,0.403266756939743,0.423860302414805,0.403266756939743,4.69217970049917,0.833333333333353,0.43613976705491,10.7584312528613,1.91070247723693,CostlyGain
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-lyapunov,Link-delay-aware,0.904492512479201,0.991666666666666,0.0955074875207988,2.10845257903494,0.428984043308765,0.470329129773724,0.428984043308765,0,0,0.185324459234609,0,0,NoGainExtraCost
10017,LongRange,LongMixed,Medium,Mixed,Default,Constrained Oracle,Link-delay-aware,0.977537437603993,0.991666666666666,0.0224625623960066,2.43487520798669,0.401473321670676,0.407276177199505,0.401473321670676,7.30449251247919,0,0.511747088186356,14.2736376641956,0,CostlyGain
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Link-delay-aware,Link-delay-aware,0.521297836938436,0.0138888888888889,0.477870216306157,2.17920133111481,0.239215087424601,0.00637338491427214,0.239596854241429,0,0,0,0,0,Baseline
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Confidence-heuristic,Link-delay-aware,0.524292845257903,0.0138888888888889,0.474875207986689,2.66959733777038,0.196393979661288,0.00520261565007731,0.196705617204387,0.299500831946753,0,0.490396006655569,0.610732607692518,0,CostlyGain
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Confidence-lyapunov,Link-delay-aware,0.518302828618968,0.0111111111111111,0.481364392678869,2.2079084858569,0.23474832944347,0.00503241469575621,0.234899050682278,-0.299500831946742,-0.277777777777778,0.0287071547420932,-10.4329681794478,-9.67625598124755,NoGainExtraCost
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Constrained Oracle,Link-delay-aware,0.539600665557404,0.0111111111111111,0.460066555740433,3.76175207986689,0.143443973473259,0.00295370637809398,0.143532437225016,1.83028286189684,-0.277777777777778,1.58255074875208,1.15653975920842,-0.175525352344511,CostlyGain
