Stage,Baseline,Metric,BaselineValue,V6Value,Delta,DeltaPctOrPp,Unit
Normal,Confidence-heuristic,TimelyRate,0.99936,0.99936,0,0,pp
Normal,Confidence-heuristic,EmergencyTimelyRate,1,1,0,0,pp
Normal,Confidence-heuristic,LossRate,0.000640000000000001,0.000640000000000001,0,0,pp
Normal,Confidence-heuristic,AvgDelay,0.0120465948187762,0.0120465948187762,0,0,pct
Normal,Confidence-heuristic,AvgTxCost,2.644,2.644,0,0,pct
Normal,Link-delay-aware,TimelyRate,0.99936,0.99936,0,0,pp
Normal,Link-delay-aware,EmergencyTimelyRate,1,1,0,0,pp
Normal,Link-delay-aware,LossRate,0.000640000000000001,0.000640000000000001,0,0,pp
Normal,Link-delay-aware,AvgDelay,0.0120465948187762,0.0120465948187762,0,0,pct
Normal,Link-delay-aware,AvgTxCost,2.308,2.644,0.336,14.5580589254766,pct
Coop_1,Confidence-heuristic,TimelyRate,0.9092,0.909466666666667,0.00026666666666697,0.026666666666697,pp
Coop_1,Confidence-heuristic,EmergencyTimelyRate,0.9092,0.909466666666667,0.00026666666666697,0.026666666666697,pp
Coop_1,Confidence-heuristic,LossRate,0.0885333333333334,0.0890666666666667,0.000533333333333302,0.0533333333333302,pp
Coop_1,Confidence-heuristic,AvgDelay,0.0124181121045579,0.0123610577806627,-5.70543238952014e-05,-0.459444426131895,pct
Coop_1,Confidence-heuristic,AvgTxCost,3.18244,3.15,-0.0324400000000002,-1.01934364826989,pct
Coop_1,Link-delay-aware,TimelyRate,0.909466666666667,0.909466666666667,0,0,pp
Coop_1,Link-delay-aware,EmergencyTimelyRate,0.909466666666667,0.909466666666667,0,0,pp
Coop_1,Link-delay-aware,LossRate,0.0890666666666667,0.0890666666666667,0,0,pp
Coop_1,Link-delay-aware,AvgDelay,0.0123610577806627,0.0123610577806627,0,0,pct
Coop_1,Link-delay-aware,AvgTxCost,2.606,3.15,0.544,20.8749040675365,pct
LinkDeg_Emerg,Confidence-heuristic,TimelyRate,0.758461538461539,0.757230769230769,-0.00123076923076992,-0.123076923076992,pp
LinkDeg_Emerg,Confidence-heuristic,EmergencyTimelyRate,0.758461538461539,0.757230769230769,-0.00123076923076992,-0.123076923076992,pp
LinkDeg_Emerg,Confidence-heuristic,LossRate,0.237230769230769,0.239384615384615,0.00215384615384601,0.215384615384601,pp
LinkDeg_Emerg,Confidence-heuristic,AvgDelay,0.012863068450445,0.012671927011099,-0.000191141439346001,-1.48597078591608,pct
LinkDeg_Emerg,Confidence-heuristic,AvgTxCost,3.04925538461538,3.15073846153846,0.10148307692308,3.32812651361049,pct
LinkDeg_Emerg,Link-delay-aware,TimelyRate,0.757230769230769,0.757230769230769,0,0,pp
LinkDeg_Emerg,Link-delay-aware,EmergencyTimelyRate,0.757230769230769,0.757230769230769,0,0,pp
LinkDeg_Emerg,Link-delay-aware,LossRate,0.239384615384615,0.239384615384615,0,0,pp
LinkDeg_Emerg,Link-delay-aware,AvgDelay,0.012671927011099,0.012671927011099,0,0,pct
LinkDeg_Emerg,Link-delay-aware,AvgTxCost,2.69769230769231,3.15073846153846,0.45304615384615,16.7938408896491,pct
PosDeg_Emerg,Confidence-heuristic,TimelyRate,0.472181818181818,0.434545454545455,-0.037636363636363,-3.7636363636363,pp
PosDeg_Emerg,Confidence-heuristic,EmergencyTimelyRate,0.472181818181818,0.434545454545455,-0.037636363636363,-3.7636363636363,pp
PosDeg_Emerg,Confidence-heuristic,LossRate,0.323090909090909,0.278909090909091,-0.044181818181818,-4.4181818181818,pp
PosDeg_Emerg,Confidence-heuristic,AvgDelay,0.0521448922102114,0.0578285478911286,0.0056836556809172,10.8997361774279,pct
PosDeg_Emerg,Confidence-heuristic,AvgTxCost,4.26142909090909,4.42575272727273,0.16432363636364,3.85606877078378,pct
PosDeg_Emerg,Link-delay-aware,TimelyRate,0.476727272727273,0.434545454545455,-0.042181818181818,-4.2181818181818,pp
PosDeg_Emerg,Link-delay-aware,EmergencyTimelyRate,0.476727272727273,0.434545454545455,-0.042181818181818,-4.2181818181818,pp
PosDeg_Emerg,Link-delay-aware,LossRate,0.396909090909091,0.278909090909091,-0.118,-11.8,pp
PosDeg_Emerg,Link-delay-aware,AvgDelay,0.0457466100530529,0.0578285478911286,0.0120819378380757,26.4105642452285,pct
PosDeg_Emerg,Link-delay-aware,AvgTxCost,3.43309090909091,4.42575272727273,0.99266181818182,28.914521766762,pct
Recovery,Confidence-heuristic,TimelyRate,0.0847682119205298,0.0856953642384106,0.000927152317880806,0.0927152317880806,pp
Recovery,Confidence-heuristic,EmergencyTimelyRate,0.0847682119205298,0.0856953642384106,0.000927152317880806,0.0927152317880806,pp
Recovery,Confidence-heuristic,LossRate,0.849271523178808,0.855099337748344,0.00582781456953596,0.582781456953596,pp
Recovery,Confidence-heuristic,AvgDelay,0.074981238728826,0.0742402167649799,-0.000741021963846109,-0.988276502774324,pct
Recovery,Confidence-heuristic,AvgTxCost,3.52906887417219,3.3278582781457,-0.20121059602649,-5.70152080337871,pct
Recovery,Link-delay-aware,TimelyRate,0.0834437086092715,0.0856953642384106,0.00225165562913911,0.225165562913911,pp
Recovery,Link-delay-aware,EmergencyTimelyRate,0.0834437086092715,0.0856953642384106,0.00225165562913911,0.225165562913911,pp
Recovery,Link-delay-aware,LossRate,0.877748344370861,0.855099337748344,-0.022649006622517,-2.2649006622517,pp
Recovery,Link-delay-aware,AvgDelay,0.0698301042353426,0.0742402167649799,0.0044101125296373,6.31548896844585,pct
Recovery,Link-delay-aware,AvgTxCost,3.15,3.3278582781457,0.1778582781457,5.64629454430793,pct
Full,Confidence-heuristic,TimelyRate,0.624525790349418,0.617803660565724,-0.00672212978369402,-0.672212978369402,pp
Full,Confidence-heuristic,EmergencyTimelyRate,0.586849816849817,0.57945054945055,-0.007399267399267,-0.7399267399267,pp
Full,Confidence-heuristic,LossRate,0.320399334442596,0.31414309484193,-0.00625623960066601,-0.625623960066601,pp
Full,Confidence-heuristic,AvgDelay,0.0230985296122406,0.0243337118313768,0.0012351822191362,5.34744955575718,pct
Full,Confidence-heuristic,AvgTxCost,3.34062262895175,3.32302396006655,-0.0175986688852001,-0.526808048675716,pct
Full,Link-delay-aware,TimelyRate,0.62495840266223,0.617803660565724,-0.00715474209650602,-0.715474209650602,pp
Full,Link-delay-aware,EmergencyTimelyRate,0.587326007326007,0.57945054945055,-0.00787545787545707,-0.787545787545707,pp
Full,Link-delay-aware,LossRate,0.341430948419301,0.31414309484193,-0.027287853577371,-2.7287853577371,pp
Full,Link-delay-aware,AvgDelay,0.0205800749229174,0.0243337118313768,0.0037536369084594,18.2391799957903,pct
Full,Link-delay-aware,AvgTxCost,2.84199667221298,3.32302396006655,0.48102728785357,16.9256808974026,pct
