Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,TimelyGainVsDCCWindow_pp,EmgGainVsDCCWindow_pp,CostDeltaVsDCCWindow_pct,TimelyGainVsAoIGreedy_pp,EmgGainVsAoIGreedy_pp,CostDeltaVsAoIGreedy_pct,TimelyGainVsDCCLike_pp,TimelyGainVsAoIAware_pp,TimelyGainVsHeuristic_pp,TimelyGainVsLink_pp,StrongerBaselineDecision
10014,Primary,CurvedBlind,Medium,Dense,Default,1.30449251247919,0,-11.3865574708068,2.63893510815308,0,-18.9048021810067,1.19467554076538,1.47753743760397,0.342762063227942,5.72379367720465,StrongerBaselineGain
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,-0.0499168053244681,0.666666666666666,7.40604956758624,0.00332778702162306,0,-15.8324811351523,-0.0432612312812108,0.612312811980043,1.0316139767055,1.18136439267886,StrongerBaselineBoundary
10006,Reference,Mixed,Medium,Mixed,Default,6.16638935108154,-0.263157894736854,3.46758599018588,2.91514143094842,0,-14.1332332219787,7.15474209650585,1.79700499168053,0.176372712146422,5.90016638935109,StrongerBaselineGain
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,0.366056572379359,0.0197368421052668,6.86121913220524,0.0332778702163194,0,-16.7647887875724,0.41930116472545,0.116472545757063,0.522462562396009,0.618968386023289,StrongerBaselineNonnegative
10011,Boundary,Open,Low,Sparse,Default,-0.435940099833643,0,-18.8551199051568,-0.415973377703849,0,-28.7251882315404,-0.485856905158066,0.18968386023297,0.123128119800342,0.232945091514158,StrongerBaselineBoundary
10011,Boundary,Open,Low,Sparse,ForestGeometry,18.7886855241265,2.2,53.0725045957738,4.56905158069882,0.0999999999999945,-4.94499348916927,19.4409317803661,-0.272878535773691,4.09983361064892,12.8885191347754,StrongerBaselineGain
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,-0.0133111480865256,0,-4.74033816425177,-0.0133111480865256,0,-16.6898096508524,-0.0133111480865256,0.193011647254571,0,0,StrongerBaselineBoundary
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,-0.841930116472533,-0.912087912087911,3.96559012160556,-0.54908485856906,-0.589743589743585,-9.05567395264132,0.572379367720455,-0.831946755407653,-0.672212978369391,-0.715474209650591,StrongerBaselineBoundary
10017,LongRange,LongMixed,Medium,Mixed,Default,8.64891846921799,-1.44444444444443,15.0513587708855,2.66888519134776,0,-10.4041327426842,8.47587354409319,3.04159733777039,0.173044925124799,11.0848585690516,StrongerBaselineGain
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,1.09484193011646,-0.388888888888889,29.1017349142558,0.272878535773724,0,-15.0173563546288,1.13810316139766,-0.479201331114798,0.6189683860233,0.905158069883527,StrongerBaselineBoundary
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,Default,-0.732113144758761,0,-4.63836887938704,-0.745424292845276,0,-18.1456034733569,-0.745424292845254,0.552412645590672,0,0.0232945091514059,StrongerBaselineBoundary
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ForestGeometry,-0.732113144758728,-0.913761467889906,11.390119776417,-0.369384359400993,-0.37064220183487,-9.95316191500816,0.87188019966723,-0.103161397670559,-0.459234608985026,-0.589018302828614,StrongerBaselineBoundary
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,Default,6.87520798668887,0,2.36033519553025,1.99334442595673,0,-17.3165145421922,6.89850249584028,1.78702163061564,0.0632279534110047,3.95673876871879,StrongerBaselineGain
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ForestGeometry,-0.299500831946753,0,-2.19783646582483,-0.545757071547426,0,-22.1325149784731,-0.465890183028306,0.908485856905161,0.11980033277873,1.3810316139767,StrongerBaselineBoundary
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,Default,2.99833610648917,0,-12.4077252948675,1.414309484193,0,10.373553407917,3.29783693843594,1.47753743760398,0.0166389351081375,2.10316139767056,StrongerBaselineGain
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ForestGeometry,-0.811980033277859,0,5.0765553345297,2.07653910149752,0,17.0426237975331,-0.808652246256225,4.86522462562398,2.78868552412647,6.60232945091515,StrongerBaselineBoundary
