Method,AvgDelay_s,TimelyRate,LossRate,AvgTxCost,EmergencyTimelyRate
Fixed,0.0181073803733305,0.986688851913478,0.0133111480865225,1.61896838602329,1
Priority-only,0.017967042066089,0.988352745424293,0.0116472545757071,2.52346089850249,1
Link-aware,0.0164071109465019,1,0,1.91710482529118,1
Link-delay-aware,0.0183889367296106,0.985024958402662,0.0149750415973378,1.62945091514143,1
Position-only,0.0185686338421483,0.986688851913478,0.0133111480865225,2.39504159733777,1
Fused-rule,0.0168683644153198,1,0,1.95277870216306,1
Blind-zone-event-only,0.0184589581186539,0.988352745424293,0.0116472545757071,2.63236179700499,1
Oracle,0.0142146816135088,0.995008319467554,0.00499168053244592,1.69409317803661,1
Confidence-driven,0.0184535761279776,0.986688851913478,0.0133111480865225,1.6783693843594,1
